SYMBOL,logFC
SLC32A1,0.270554893
CHRNA6,-0.568528631
CACNA1A,-0.476571048
CACNA1B,-0.879026046
CHRNA4,-1.215555276
CHRNB2,-0.218113281
GABRA1,-3.079635347
GABRA2,1.0063869
GABRA3,-1.819887475
GABRA4,2.109123784
GABRA5,0.160130669
GABRA6,-0.12740366
GABRB1,-0.907133907
GABRB3,-0.235030084
GABRB2,-2.753691644
GABRG1,0.240311688
GABRG2,-1.087591411
GABRG3,0.542243101
GABRD,-0.66458517
GABRQ,-1.757427737
GABRP,0.346539158
GABRR1,-0.550627794
GABRR2,-0.09333335
GABRR3,0.774822138
SLC17A6,-3.414432121
SLC17A8,-0.79679068
SLC17A7,0.668135863
GRIN1,-0.968249636
GRIN2A,0.073492838
GRIN2B,0.126172895
GRIN2C,0.030993488
GRIN2D,-1.242984803
GRIN3A,-0.67274813
GRIN3B,-1.43289617
GRIA1,-0.483744663
GRIA2,-0.73283474
GRIA3,-0.897494575
